City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,mar del plata,AR,2/25/2022 4:16,-38.0023,-57.5575,65.08,83,0,7,clear sky,0,0
1,mataura,NZ,2/25/2022 4:16,-46.1927,168.8643,72.77,46,1,4.65,clear sky,0,0
2,rikitea,PF,2/25/2022 4:11,-23.1203,-134.9692,79.86,67,31,6.51,scattered clouds,0,0
3,ushuaia,AR,2/25/2022 4:16,-54.8,-68.3,49.66,93,75,3.44,broken clouds,0,0
4,batagay-alyta,RU,2/25/2022 4:16,67.8006,130.4114,4.78,84,100,11.95,overcast clouds,0,0
5,santa maria,BR,2/25/2022 4:16,-29.6842,-53.8069,75.43,62,92,8.48,overcast clouds,0,0
6,gafanha da encarnacao,PT,2/25/2022 4:16,40.6181,-8.733,56.77,51,100,7.18,overcast clouds,0,0
7,itoman,JP,2/25/2022 4:16,26.1247,127.6694,64.78,50,75,13.8,broken clouds,0,0
8,busselton,AU,2/25/2022 4:16,-33.65,115.3333,85.05,44,76,7.56,broken clouds,0,0
9,nouadhibou,MR,2/25/2022 4:16,20.931,-17.0347,62.58,88,1,17.27,clear sky,0,0
10,butaritari,KI,2/25/2022 4:16,3.0707,172.7902,81.99,78,62,20.24,light rain,0,0
11,atuona,PF,2/25/2022 4:14,-9.8,-139.0333,78.58,80,27,19.15,scattered clouds,0,0
12,chapada dos guimaraes,BR,2/25/2022 4:16,-15.4606,-55.7497,71.26,94,100,4.47,overcast clouds,0,0
13,arraial do cabo,BR,2/25/2022 4:16,-22.9661,-42.0278,75.79,87,0,5.37,clear sky,0,0
14,jaru,BR,2/25/2022 4:16,-10.4389,-62.4664,73.99,96,100,2.93,overcast clouds,0,0
15,ponta do sol,PT,2/25/2022 4:16,32.6667,-17.1,61.43,70,64,8.12,broken clouds,0,0
16,atambua,ID,2/25/2022 4:16,-9.1061,124.8925,75.96,88,100,9.28,overcast clouds,0,0
17,tuatapere,NZ,2/25/2022 4:16,-46.1333,167.6833,63.82,66,19,8.95,few clouds,0,0
18,norden,DE,2/25/2022 4:16,53.6,7.2,39.96,92,92,3,overcast clouds,0,0
19,upernavik,GL,2/25/2022 4:16,72.7868,-56.1549,-27.92,99,97,16.15,overcast clouds,0,0
20,leningradskiy,RU,2/25/2022 4:16,69.3833,178.4167,-2.72,95,100,4.16,overcast clouds,0,0
21,pemberton,CA,2/25/2022 4:16,50.3164,-122.8027,26.46,93,10,1.43,clear sky,0,0
22,reconquista,AR,2/25/2022 4:16,-29.15,-59.65,72.63,96,36,5.77,scattered clouds,0,0
23,san jeronimo,PE,2/25/2022 4:16,-11.9472,-75.2829,51.53,84,100,0.45,overcast clouds,0,0
24,saint-philippe,RE,2/25/2022 4:16,-21.3585,55.7679,81.99,81,97,3.38,overcast clouds,0,0
25,hermanus,ZA,2/25/2022 4:16,-34.4187,19.2345,69.8,88,79,10.42,broken clouds,0,0
26,jamestown,US,2/25/2022 4:15,42.097,-79.2353,31.32,55,100,10.36,light snow,0,0
27,bubaque,GW,2/25/2022 4:16,11.2833,-15.8333,74.61,74,3,14.58,clear sky,0,0
28,carroll,US,2/25/2022 4:16,39.5501,-77.0164,32.02,84,100,1.99,snow,0,0
29,vaini,TO,2/25/2022 4:16,-21.2,-175.2,86.16,74,75,8.05,broken clouds,0,0
30,punta arenas,CL,2/25/2022 4:16,-53.15,-70.9167,48.31,81,0,9.22,clear sky,0,0
31,thompson,CA,2/25/2022 4:16,55.7435,-97.8558,-2.04,60,20,8.05,few clouds,0,0
32,sambava,MG,2/25/2022 4:16,-14.2667,50.1667,77.18,88,56,4.27,broken clouds,0,0
33,castro,BR,2/25/2022 4:16,-24.7911,-50.0119,64.58,96,13,4.14,few clouds,0,0
34,saldanha,ZA,2/25/2022 4:16,-33.0117,17.9442,64.42,95,8,7.78,clear sky,0,0
35,calabozo,VE,2/25/2022 4:16,8.9242,-67.4293,79.79,51,96,8.81,overcast clouds,0,0
36,talcahuano,CL,2/25/2022 4:16,-36.7167,-73.1167,58.68,100,100,0,fog,0,0
37,ribeira grande,PT,2/25/2022 4:16,38.5167,-28.7,58.64,65,19,10.04,few clouds,0,0
38,peleduy,RU,2/25/2022 4:16,59.6289,112.7406,11.55,86,99,6.73,overcast clouds,0,0
39,avarua,CK,2/25/2022 4:16,-21.2078,-159.775,82.45,83,73,12.66,broken clouds,0,0
40,ilulissat,GL,2/25/2022 4:16,69.2167,-51.1,-0.38,78,100,1.14,light shower snow,0,0
41,rostovka,RU,2/25/2022 4:16,55.3842,71.8891,23.02,96,93,8.93,overcast clouds,0,0
42,chumphon,TH,2/25/2022 4:16,10.3333,98.8333,80.71,59,39,10.94,scattered clouds,0,0
43,constitucion,CL,2/25/2022 4:16,-35.3333,-72.4167,56.44,90,0,6.26,clear sky,0,0
44,hobart,AU,2/25/2022 4:14,-42.8794,147.3294,70.02,55,75,14.97,broken clouds,0,0
45,mahebourg,MU,2/25/2022 4:16,-20.4081,57.7,82.26,94,40,4.61,scattered clouds,0,0
46,tateyama,JP,2/25/2022 4:16,34.9833,139.8667,51.82,48,15,5.03,few clouds,0,0
47,tiksi,RU,2/25/2022 4:16,71.6872,128.8694,-6.61,99,100,7.65,overcast clouds,0,0
48,salalah,OM,2/25/2022 4:16,17.0151,54.0924,69.89,68,0,3.44,clear sky,0,0
49,katsuura,JP,2/25/2022 4:16,35.1333,140.3,51.91,44,5,5.95,clear sky,0,0
50,longyearbyen,SJ,2/25/2022 4:16,78.2186,15.6401,-13.16,70,20,3.44,fog,0,0
51,masyaf,SY,2/25/2022 4:16,35.0653,36.3406,47.19,91,72,14.56,broken clouds,0,0
52,albany,US,2/25/2022 4:14,42.6001,-73.9662,27.09,59,88,2.93,overcast clouds,0,0
53,manzhouli,CN,2/25/2022 4:16,49.6,117.4333,17.17,84,46,23.38,scattered clouds,0,0
54,barstow,US,2/25/2022 4:16,34.8986,-117.0228,43.39,20,0,1.86,clear sky,0,0
55,umm kaddadah,SD,2/25/2022 4:16,13.6017,26.6876,60.94,18,7,16.49,clear sky,0,0
56,khatanga,RU,2/25/2022 4:16,71.9667,102.5,-16.76,99,49,3.36,scattered clouds,0,0
57,humaita,BR,2/25/2022 4:14,-7.5061,-63.0208,73.35,94,69,1.43,broken clouds,0,0
58,guerrero negro,MX,2/25/2022 4:16,27.9769,-114.0611,59.58,45,60,7.25,broken clouds,0,0
59,bredasdorp,ZA,2/25/2022 4:16,-34.5322,20.0403,69.28,85,100,5.88,overcast clouds,0,0
60,georgetown,MY,2/25/2022 4:16,5.4112,100.3354,84.13,80,40,11.5,light rain,0,0
61,kavieng,PG,2/25/2022 4:16,-2.5744,150.7967,82.78,74,94,5.7,light rain,0,0
62,biak,ID,2/25/2022 4:16,-0.9131,122.8766,86.18,55,88,8.9,overcast clouds,0,0
63,kieta,PG,2/25/2022 4:16,-6.2167,155.6333,83.43,75,52,5.17,light rain,0,0
64,hithadhoo,MV,2/25/2022 4:16,-0.6,73.0833,82.96,67,2,7.94,clear sky,0,0
65,timmins,CA,2/25/2022 4:12,48.4669,-81.3331,-14.03,100,56,1.05,broken clouds,0,0
66,la ronge,CA,2/25/2022 4:16,55.1001,-105.2842,-0.15,71,75,4.61,broken clouds,0,0
67,eyrarbakki,IS,2/25/2022 4:16,63.863,-21.1481,30.25,96,100,17.78,light snow,0,0
68,xuddur,SO,2/25/2022 4:16,4.1213,43.8894,71.11,81,100,15.66,overcast clouds,0,0
69,tasiilaq,GL,2/25/2022 4:16,65.6145,-37.6368,21.36,69,100,34.31,overcast clouds,0,0
70,pisco,PE,2/25/2022 4:16,-13.7,-76.2167,68.02,88,0,5.75,clear sky,0,0
71,hamilton,US,2/25/2022 4:16,39.1834,-84.5333,37.08,96,100,4.61,mist,0,0
72,hualmay,PE,2/25/2022 4:16,-11.0964,-77.6139,72.09,81,98,6.96,overcast clouds,0,0
73,lakshmipur,BD,2/25/2022 4:16,22.95,90.8333,78.17,53,8,5.32,clear sky,0,0
74,charters towers,AU,2/25/2022 4:16,-20.1,146.2667,96.19,26,18,6.24,few clouds,0,0
75,hambantota,LK,2/25/2022 4:16,6.1241,81.1185,85.15,57,8,15.1,clear sky,0,0
76,bac lieu,VN,2/25/2022 4:16,9.285,105.7244,84.69,58,99,23.62,overcast clouds,0,0
77,rudbar,AF,2/25/2022 4:16,30.15,62.6,61,34,0,2.95,clear sky,0,0
78,harper,LR,2/25/2022 4:16,4.375,-7.7169,78.51,88,92,7,overcast clouds,0,0
79,kabare,CD,2/25/2022 4:16,-2.4683,28.8242,58.71,94,98,0.85,overcast clouds,0,0
80,sao filipe,CV,2/25/2022 4:16,14.8961,-24.4956,69.84,75,8,8.61,clear sky,0,0
81,huilong,CN,2/25/2022 4:16,31.8111,121.655,57.04,49,0,10.29,clear sky,0,0
82,lagoa,PT,2/25/2022 4:16,39.05,-27.9833,57.18,67,22,5.88,few clouds,0,0
83,klishkivtsi,UA,2/25/2022 4:16,48.4316,26.2623,29.07,83,11,5.26,few clouds,0,0
84,yerbogachen,RU,2/25/2022 4:16,61.2767,108.0108,4.62,77,53,2.66,broken clouds,0,0
85,lebu,CL,2/25/2022 4:16,-37.6167,-73.65,56.37,94,7,3.29,clear sky,0,0
86,yulara,AU,2/25/2022 4:16,-25.2406,130.9889,94.84,17,0,10.36,clear sky,0,0
87,port elizabeth,ZA,2/25/2022 4:16,-33.918,25.5701,74.1,88,0,13.8,clear sky,0,0
88,barrow,US,2/25/2022 4:16,71.2906,-156.7887,-7.58,71,0,19.57,haze,0,0
89,victoria,HK,2/25/2022 4:16,22.2855,114.1577,64.94,72,36,8.01,scattered clouds,0,0
90,te anau,NZ,2/25/2022 4:16,-45.4167,167.7167,72.81,31,1,3,clear sky,0,0
91,komsomolskiy,UZ,2/25/2022 4:16,40.4272,71.7189,48.92,53,75,2.3,broken clouds,0,0
92,makakilo city,US,2/25/2022 4:16,21.3469,-158.0858,77.32,59,0,11.5,clear sky,0,0
93,sena madureira,BR,2/25/2022 4:16,-9.0656,-68.6569,72.91,97,100,2.57,overcast clouds,0,0
94,qingdao,CN,2/25/2022 4:15,36.0986,120.3719,55,35,0,11.18,clear sky,0,0
95,topeka,US,2/25/2022 4:14,39.0483,-95.678,14.9,80,0,11.5,clear sky,0,0
96,shimoda,JP,2/25/2022 4:16,34.6667,138.95,50.36,54,69,3.09,broken clouds,0,0
97,maceio,BR,2/25/2022 4:16,-9.6658,-35.7353,76.44,83,20,4.61,few clouds,0,0
98,puerto del rosario,ES,2/25/2022 4:16,28.5004,-13.8627,62.28,82,7,9.22,clear sky,0,0
99,cape town,ZA,2/25/2022 4:16,-33.9258,18.4232,68.11,86,0,12.66,clear sky,0,0
100,hilo,US,2/25/2022 4:16,19.7297,-155.09,77.52,72,40,4.61,scattered clouds,0,0
101,kyzyl-suu,KG,2/25/2022 4:16,42.3414,78.0056,32.77,70,100,1.12,overcast clouds,0,0
102,namtsy,RU,2/25/2022 4:16,62.7161,129.6658,-0.29,88,100,7.9,overcast clouds,0,0
103,bambous virieux,MU,2/25/2022 4:16,-20.3428,57.7575,82.22,94,40,4.61,scattered clouds,0,0
104,miraflores,MX,2/25/2022 4:16,19.2167,-98.8083,67.03,35,0,2.93,clear sky,0,0
105,madang,PG,2/25/2022 4:16,-5.2246,145.7966,85.08,74,88,9.24,overcast clouds,0,0
106,pevek,RU,2/25/2022 4:12,69.7008,170.3133,-6.14,92,100,0.96,overcast clouds,0,0
107,severo-yeniseyskiy,RU,2/25/2022 4:16,60.3725,93.0408,20.35,92,100,7.61,light snow,0,0
108,koslan,RU,2/25/2022 4:16,63.4564,48.8989,22.1,91,100,11.61,overcast clouds,0,0
109,palmer,US,2/25/2022 4:16,42.1584,-72.3287,29.03,48,100,0,overcast clouds,0,0
110,kruisfontein,ZA,2/25/2022 4:16,-34.0033,24.7314,71.89,97,60,4.74,broken clouds,0,0
111,pskov,RU,2/25/2022 4:16,57.8136,28.3496,31.91,80,0,11.18,clear sky,0,0
112,mrakovo,RU,2/25/2022 4:16,52.7161,56.6244,26.44,95,99,2.26,overcast clouds,0,0
113,zhezkazgan,KZ,2/25/2022 4:16,47.8043,67.7144,17.58,93,20,6.71,few clouds,0,0
114,meulaboh,ID,2/25/2022 4:16,4.1363,96.1285,84.7,63,58,0.81,broken clouds,0,0
115,fortuna,US,2/25/2022 4:17,40.5982,-124.1573,40.48,86,0,0,clear sky,0,0
116,honningsvag,NO,2/25/2022 4:17,70.9821,25.9704,27.93,71,100,23.87,overcast clouds,0,0
117,port macquarie,AU,2/25/2022 4:17,-31.4333,152.9167,78.89,86,98,11.56,overcast clouds,0,0
